job_dir,model,dataset,filename,vad,chunked,mean_wer,n_songs,insertions,deletions,substitutions
whisper_large_v3/jam_alt_sep,openai/whisper-large-v3,jam-alt,htdemucs_ft_vocals.wav,False,False,0.9213368180992965,79,8273,825,5727
whisper_large_v3/musdb_alt_mix_vad,openai/whisper-large-v3,musdb_alt,mixture.wav,True,False,0.9276228245301561,39,186,7212,975
whisper_large_v3/musdb_alt_mix_vad_chunked,openai/whisper-large-v3,musdb_alt,mixture.wav,True,True,0.9277434059870056,39,185,7216,976
canary_1b_v2/final_test_mix_chunked,nvidia/canary-1b-v2,final_test,audio.mp3,False,True,0.9287832146801833,1762,196982,36104,217507
parakeet_tdt_0.6b_v3/musdb_alt_mix_vad,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,True,False,0.937657245890187,39,153,7355,1060
whisper_large_v3/musdb_alt_sep,openai/whisper-large-v3,musdb_alt,htdemucs_ft_vocals.wav,False,False,0.9393756037618443,39,4138,489,3164
parakeet_tdt_0.6b_v3/musdb_alt_mix_vad_chunked,nvidia/parakeet-tdt-0.6b-v3,musdb_alt,mixture.wav,True,True,0.9401076705084268,39,210,7283,1151
canary_1b_v2/musdb_alt_mix_vad,nvidia/canary-1b-v2,musdb_alt,mixture.wav,True,False,0.9412894783583374,39,189,7302,1136
canary_1b_v2/final_test_sep_chunked,nvidia/canary-1b-v2,final_test,htdemucs_ft_vocals.wav,False,True,0.9424042673321187,1763,208828,29964,216622
canary_1b_v2/musdb_alt_mix_vad_chunked,nvidia/canary-1b-v2,musdb_alt,mixture.wav,True,True,0.944583325003872,39,210,7355,1167
whisper_large_v3/musdb_alt_sep_chunked,openai/whisper-large-v3,musdb_alt,htdemucs_ft_vocals.wav,False,True,0.9623783617241741,39,4981,693,3087
whisper_large_v3/final_test_sep_chunked,openai/whisper-large-v3,final_test,htdemucs_ft_vocals.wav,False,True,0.9787762167882719,1770,218076,34067,173493

